event_bin_label,group,games,wins,losses,avg_point_diff
-32 to -25 games,Control,122,57,65,-0.7868852459016393
-32 to -25 games,Treatment (DAL),8,7,1,9.625
-24 to -17 games,Control,136,66,70,-0.35294117647058826
-24 to -17 games,Treatment (DAL),8,4,4,2.0
-16 to -9 games,Control,123,63,60,0.3170731707317073
-16 to -9 games,Treatment (DAL),8,2,6,-5.5
-8 to -1 games,Control,144,70,74,-0.2638888888888889
-8 to -1 games,Treatment (DAL),8,4,4,0.125
+1 to +8 games,Control,133,64,69,-0.41353383458646614
+1 to +8 games,Treatment (DAL),8,5,3,1.0
+9 to +16 games,Control,111,57,54,0.6486486486486487
+9 to +16 games,Treatment (DAL),8,2,6,-10.75
+17 to +24 games,Control,131,67,64,0.25190839694656486
+17 to +24 games,Treatment (DAL),8,3,5,-4.625
+25 to +32 games,Control,144,71,73,0.25
+25 to +32 games,Treatment (DAL),8,3,5,-10.375
