event_bin_label,x,coef,se,ci_lower,ci_upper
-32 to -25 games,-28.5,7.24973517967799,1.7151787210732274,3.8879848863744644,10.611485472981515
-24 to -17 games,-20.5,1.09930590493712,2.255222075097912,-3.3209293622547875,5.519541172129028
-16 to -9 games,-12.5,-1.6263148743488767,1.786271719379241,-5.127407444332189,1.8747776956344357
-8 to -1 games,-4.5,0.0,0.0,0.0,0.0
+1 to +8 games,4.5,-3.1331108678926283,2.7979534664568906,-8.617099662148133,2.3508779263628767
+9 to +16 games,12.5,-13.893703522783255,2.788579222452246,-19.35931879878966,-8.428088246776854
+17 to +24 games,20.5,-3.7528931843698707,2.6327204446177515,-8.913025255820664,1.407238887080922
+25 to +32 games,28.5,-10.699257965743035,2.779020223013996,-16.146137602850466,-5.2523783286356025
