outcome,controls,did_estimate,did_std_error,did_t_stat,did_p_value,n_observations,r_squared
win,no_controls,-0.34553771029779096,0.026368317611817224,-13.104275949063007,3.112180761399182e-39,1871,0.0016624910559652761
win,with_fe_b2b_controls,-0.3796921602426017,0.03502290307643052,-10.84125320548097,2.1944414969417383e-27,1871,0.22972686494405525
win,with_injury_adjustment,-0.3020435256006794,0.042620733816277095,-7.086774406622893,1.3727387903244257e-12,1871,0.2303824699861753
point_diff,no_controls,-14.837988903537925,1.030883206415926,-14.393472326632612,5.686758581602333e-47,1871,0.0036002754848682983
point_diff,with_fe_b2b_controls,-16.502970856727906,1.1858169709901936,-13.916962955039697,4.996897605075017e-44,1871,0.292173759241544
point_diff,with_injury_adjustment,-13.857014154080472,1.3886649815831715,-9.97865888306807,1.890040371801919e-23,1871,0.29315302058263304
