outcome,controls,did_estimate,did_std_error,did_t_stat,did_p_value,n_observations,r_squared
win,no_controls,-0.1106892254492989,0.026368038130196753,-4.197855938418766,2.694539443209904e-05,1896,0.000581261677287781
win,with_fe_b2b_controls,-0.15066998610798707,0.025709133339240523,-5.860562630402462,4.61301508200195e-09,1896,0.22440322945000424
win,with_injury_adjustment,-0.3000067012091625,0.038615189299168066,-7.769137136293306,7.902257751260753e-15,1896,0.22652708823460077
point_diff,no_controls,-7.701625267174036,1.0308722799353935,-7.470979108737612,7.960029307469106e-14,1896,0.0025482614049874286
point_diff,with_fe_b2b_controls,-9.631472772432575,0.9777036667055717,-9.851116550361699,6.778668260461182e-23,1896,0.2886980703943093
point_diff,with_injury_adjustment,-14.218951401896312,1.2844696650304306,-11.069900511476423,1.7559544354842718e-28,1896,0.2909018148014184
