window_type,outcome,controls,did_estimate,did_std_error,did_t_stat,did_p_value,n_observations,r_squared
calendar_symmetric,win,no_controls,-0.11068922544929945,0.026368038130196985,-4.19785593841875,2.6945394432100907e-05,1896,0.0005812616772847834
calendar_symmetric,win,with_controls,-0.15407021560217854,0.026856143277861608,-5.736870480922092,9.644195085360514e-09,1896,0.11484629220100517
calendar_symmetric,point_diff,no_controls,-7.701625267174096,1.0308722799354042,-7.470979108737593,7.960029307470229e-14,1896,0.0025482614049870955
calendar_symmetric,point_diff,with_controls,-9.31371788382581,1.010770377629355,-9.214474513657649,3.1280667872794975e-20,1896,0.14776808957458398
game_symmetric,win,no_controls,-0.13641756124414978,0.03256952766274482,-4.188502905437994,2.808007163796403e-05,1108,0.0011568150235055086
game_symmetric,win,with_controls,-0.1369060467879554,0.036664699865785154,-3.734001567969023,0.0001884613191862734,1108,0.13938747814380736
game_symmetric,point_diff,no_controls,-8.188084227910807,1.3285645792397847,-6.163105923383938,7.133175670450565e-10,1108,0.004521540607940522
game_symmetric,point_diff,with_controls,-9.040512829418535,1.3220329766613386,-6.838341394667357,8.011529489367205e-12,1108,0.17834221435202902
