outcome,controls,did_estimate,did_std_error,did_t_stat,did_p_value,n_observations,r_squared
win,no_controls,-0.1364175612441491,0.032569527662745096,-4.188502905437938,2.808007163797095e-05,1108,0.0011568150235057306
win,with_fe_b2b_controls,-0.14056658027738106,0.03411033152009875,-4.120938554776442,3.773320607934666e-05,1108,0.24702947270695452
win,with_injury_adjustment,-0.24383881084601738,0.04373295568267397,-5.575630712346775,2.4663463277402998e-08,1108,0.25002682606770943
point_diff,no_controls,-8.188084227910803,1.3285645792397935,-6.1631059233838945,7.133175670452542e-10,1108,0.0045215406079403
point_diff,with_fe_b2b_controls,-9.436732935771207,1.2168704556356322,-7.754919919427191,8.839924153840387e-15,1108,0.31732377472160356
point_diff,with_injury_adjustment,-13.446636652788536,1.4598124300448045,-9.211208492296391,3.2247361033626884e-20,1108,0.3208370032778298
