outcome,controls,did_estimate,did_std_error,did_t_stat,did_p_value,n_observations,r_squared
win,no_controls,-0.3551675612441515,0.032570508362453815,-10.904575307568017,1.0960387351596212e-27,1084,0.0029643627799530448
win,with_fe_b2b_controls,-0.331637495147854,0.04041942994533015,-8.20490283006007,2.307774614069868e-16,1084,0.25620028685220986
win,with_injury_adjustment,-0.2527128135340909,0.05622679782075681,-4.4945261570773445,6.972503281063501e-06,1084,0.25715779684684137
point_diff,no_controls,-15.125584227910885,1.328604583593229,-11.384564237316974,4.991714677912199e-30,1084,0.006341387392934328
point_diff,with_fe_b2b_controls,-15.83447334637098,1.3105216360812568,-12.082573007889806,1.3056891325160612e-33,1084,0.32436454870783626
point_diff,with_injury_adjustment,-13.209179735670128,1.610941287114586,-8.19966552556956,2.410567892998364e-16,1084,0.3259700274125251
