event_bin_label,x,coef,se,ci_lower,ci_upper
≤ -57 days,-63,7.818553982436398,2.194936441684984,3.516478556733829,12.120629408138967
-56 to -43 days,-49,3.919956209699345,2.8936580637426954,-1.7516135952363383,9.59152601463503
-42 to -29 days,-35,0.5505949667091827,2.022891166905708,-3.414271720426005,4.515461653844371
-28 to -15 days,-21,7.955886182486226,1.9136253007238935,4.205180593067395,11.706591771905057
-14 to -1 days,-7,0.0,0.0,0.0,0.0
+1 to +14 days,7,0.974133379063769,2.6221237888528584,-4.165229247087833,6.113496005215371
+15 to +28 days,21,-14.216593342637136,1.8356262627201323,-17.814420817568596,-10.618765867705676
+29 to +42 days,35,-14.248716109964251,2.387039079456628,-18.927312705699244,-9.57011951422926
+43 to +56 days,49,7.082677145857347,2.5060675480453867,2.170784751688389,11.994569540026305
≥ +57 days,63,-10.545838725595019,2.7864335402946048,-16.007248464572445,-5.084428986617593
