outcome,controls,did_estimate,did_std_error,did_t_stat,did_p_value,n_observations,r_squared
win,no_controls,0.046138556983313254,0.02636802710441595,1.7497917762526216,0.08015425024773878,1897,0.0016645572534036424
win,with_fe_b2b_controls,0.08434411560340264,0.029072815845392865,2.9011333491719054,0.0037181561571413796,1897,0.22358495382819765
win,with_injury_adjustment,0.10228965921545857,0.031239771357884357,3.2743408408346912,0.0010590878166219337,1897,0.2265306811378187
point_diff,no_controls,2.8135663960013395,1.0308718488766995,2.7293076235103055,0.006346746788577246,1897,0.0006281485858258273
point_diff,with_fe_b2b_controls,3.7382058488222323,1.0289378243047942,3.6330726313302413,0.0002800661417478693,1897,0.27849148176435756
point_diff,with_injury_adjustment,4.219175265428896,1.06568930704458,3.959104438356158,7.523133549410061e-05,1897,0.28047811679984214
